artistId,artistName
194,Various
417,Photek
776,DJ Cam
968,The Herbaliser
997,Roey Marquis II
1289,Daft Punk
1396,The Brand New Heavies
1444,Dj Vadim
1445,The Prunes
1458,World Class Wreckin' Cru
1716,Aquasky
1781,Jungle Brothers
1905,DJ Spinna
2194,Roots Manuva
2195,East Flatbush Project
2202,EL-P
2265,Roy Ayers
2266,George Benson
2525,Slip
2545,DJ Magic Mike
2589,Dynamic Duo (2)
2604,Stetsasonic
3079,YZ
3081,Jeru The Damaja
3082,Rae & Christian
3155,Dejja
3165,Mantronix
3214,DJ Spooky
3263,Saukrates
3267,D.I.T.C.
3268,A Tribe Called Quest
3272,Aim
3273,Deckwrecka
3300,Smith & Mighty
3302,DJ Lynx
3472,Tanya Winley
3541,DJ Mink
3722,Prefuse 73
3763,Bad Meets Evil
3840,Radiohead
3862,Guru
3867,Newcleus
3922,Hooverphonic
3924,Black Uhuru
3990,Terry Hall
4000,Tony D
4030,Crooklyn Clan
4091,De La Soul
4093,UTFO
4096,Roxanne Shanté
4097,Whodini
4478,DJ Shadow
4617,Noreaga
4618,Fonky Family
4653,Richie Rich
4654,Kraftwerk
4778,Mary J. Blige
4779,Jodeci
4813,T.C. Izlam
4818,The Creators
4834,Stereo MC's
4839,Spoonie Gee
4848,Kool G Rap
4970,Soul II Soul
5004,Mark B
5076,Static
5090,Dynamic Syncopation
5416,IG Culture
5455,Cut Chemist
5491,People Under The Stairs
5635,Karl The Voice
5648,Mos Def
5649,L-Fudge
5682,Masta Ace
5793,Lewis Parker
5953,J-Live
6136,Latyrx
6157,Aphrodelics
6378,Gorillaz
6952,Tom Morello
6953,MC D-Stroy
7253,Tony Scott
7449,Ronny Jordan
7686,Naughty By Nature
7699,SWV
7708,Shaggy
8024,Janet Jackson
8186,DJ Smash
8279,Jill Scott
8285,Kelis
8456,Phoebe One
8459,Skibadee
8585,Divine Styler
8729,Laid Back
8993,Double Dee & Steinski
8994,Steinski & Mass Media
9074,Simon Harris
9373,Beenie Man
9384,Lucy Pearl
9557,Dwele
9638,DJ Rip
9707,War
9741,Slick Rick
9807,Enya
9838,Mix Master Mike
9839,The X-Ecutioners
9965,Muro
9966,DJ Format
10090,Mass Influence
10147,Mr. X
10181,DJ LBR
10268,Kid Sublime
10578,The Pharcyde
10586,Slum Village
10783,Beastie Boys
10818,Hiroshi Fujiwara
10990,BLACKstreet
10991,Coolio
10995,Erykah Badu
11012,Rod Stewart
11152,DJ Revolution
11213,Wu-Tang Clan
11414,DLT
11737,Shannon
11784,Task Force (2)
11864,Kelz
11910,Milo Johnson
12137,Heavy D. & The Boyz
12287,Another Level
12330,Yella
12466,Black Thought
12469,Phonosycographdisk
12470,Company Flow
12474,Kukoo Da Baga Bonez
12596,James Brown
12626,Craig David
12627,Soulive
13247,Prince Paul
13333,Imhotep
13705,MC Det
13726,N.W.A.
13727,Luniz
13732,Ice Cube
13733,Aaliyah
13869,"Chris ""The Glove"" Taylor"
13873,Marley Marl
13876,Doug E. Fresh And The Get Fresh Crew
13878,D.St.
13879,Kid Frost
13888,Awesome Foursome
13936,Toni Braxton
13961,Sting
13981,DJ Chestnut
14014,Common
14017,Jigmastas
14081,EJM
14145,M.S.I.
14295,Pete Rock
14313,Deshay
14480,Chubb Rock
14481,Sweet Tee
14484,Howie Tee
14485,Power Jam
14488,Queen Latifah
14491,Chill Rob G
14560,DJ Kool
14646,R. Kelly
14648,DJ Jazzy Jeff & The Fresh Prince
14696,Extince
14725,Funky Fresh Few
14742,EPMD
14743,Redman
14745,Breez Evahflowin'
14747,Sunz Of Man
14752,The Wascals
14753,Xzibit
